rank,lemma,pos,zipf
1,one,adjective,6.47
2,like,verb,6.41
3,time,noun,6.29
4,get,verb,6.28
5,new,adjective,6.25
6,people,noun,6.25
7,also,adverb,6.19
8,good,adjective,6.12
9,first,adjective,6.11
10,know,verb,6.1
11,see,verb,6.1
12,two,adjective,6.1
13,make,verb,6.08
14,think,verb,6.08
15,back,adverb,6.04
16,want,verb,6.04
17,us,noun,6.04
18,go,verb,6.03
19,well,adverb,6.03
20,said,adjective,6.01
21,way,noun,6.01
22,much,adjective,6.0
23,even,adverb,5.99
24,may,noun,5.98
25,need,verb,5.97
26,really,adverb,5.97
27,right,noun,5.96
28,work,verb,5.96
29,year,noun,5.96
30,day,noun,5.95
31,going,noun,5.94
32,made,adjective,5.92
33,still,adverb,5.92
34,take,verb,5.92
35,many,adjective,5.91
36,never,adverb,5.91
37,life,noun,5.89
38,say,verb,5.89
39,world,noun,5.89
40,great,adjective,5.88
41,last,adjective,5.86
42,best,adjective,5.84
43,love,verb,5.82
44,man,noun,5.82
45,home,noun,5.81
46,long,adjective,5.81
47,look,verb,5.81
48,use,verb,5.81
49,used,adjective,5.8
50,every,adjective,5.79
51,come,verb,5.78
52,part,noun,5.78
53,state,noun,5.78
54,three,adjective,5.78
55,around,adverb,5.77
56,always,adverb,5.76
57,find,verb,5.76
58,better,verb,5.76
59,help,verb,5.75
60,high,adjective,5.75
61,little,adjective,5.75
62,old,adjective,5.75
63,another,adjective,5.74
64,thing,noun,5.72
65,game,noun,5.72
66,give,verb,5.71
67,house,noun,5.71
68,place,noun,5.71
69,school,noun,5.71
70,next,adjective,5.7
71,mr,noun,5.69
72,end,noun,5.68
73,must,noun,5.68
74,show,verb,5.68
75,found,verb,5.68
76,big,adjective,5.67
77,feel,verb,5.67
78,sure,adjective,5.67
79,team,noun,5.67
80,ever,adverb,5.66
81,family,noun,5.66
82,keep,verb,5.66
83,might,noun,5.66
84,please,verb,5.66
85,put,verb,5.66
86,money,noun,5.64
87,free,adjective,5.63
88,second,adjective,5.63
89,someone,noun,5.63
90,away,adverb,5.62
91,left,adjective,5.62
92,number,noun,5.62
93,city,noun,5.61
94,lot,noun,5.61
95,name,noun,5.61
96,night,noun,5.61
97,play,verb,5.61
98,company,noun,5.6
99,let,verb,5.6
100,real,adjective,5.6
101,different,adjective,5.59
102,set,verb,5.59
103,thought,noun,5.59
104,done,adjective,5.58
105,however,adverb,5.58
106,god,noun,5.57
107,government,noun,5.57
108,group,noun,5.57
109,looking,adjective,5.57
110,public,adjective,5.57
111,top,noun,5.57
112,business,noun,5.56
113,care,verb,5.56
114,start,verb,5.56
115,system,noun,5.56
116,week,noun,5.56
117,already,adverb,5.55
118,case,noun,5.55
119,nothing,noun,5.55
120,person,noun,5.55
121,today,noun,5.55
122,change,verb,5.54
123,enough,adverb,5.54
124,full,adjective,5.54
125,live,verb,5.54
126,making,noun,5.54
127,point,noun,5.54
128,read,verb,5.54
129,yet,adverb,5.54
130,tell,verb,5.53
131,bad,adjective,5.53
132,four,adjective,5.53
133,hard,adjective,5.53
134,mean,verb,5.53
135,support,verb,5.53
136,music,noun,5.52
137,power,noun,5.52
138,stop,verb,5.52
139,water,noun,5.52
140,call,verb,5.51
141,based,adjective,5.51
142,believe,verb,5.51
143,head,noun,5.51
144,men,noun,5.51
145,national,adjective,5.51
146,small,adjective,5.51
147,white,adjective,5.51
148,far,adverb,5.5
149,job,noun,5.5
150,side,noun,5.5
151,though,adverb,5.5
152,try,verb,5.5
153,yes,noun,5.5
154,actually,adverb,5.49
155,american,adjective,5.49
156,later,adverb,5.49
157,less,adverb,5.49
158,line,noun,5.49
159,order,noun,5.49
160,party,noun,5.49
161,run,verb,5.49
162,service,noun,5.49
163,country,noun,5.48
164,open,verb,5.48
165,season,noun,5.48
166,shit,noun,5.48
167,thank,verb,5.48
168,general,adjective,5.47
169,trying,adjective,5.47
170,united,adjective,5.47
171,area,noun,5.46
172,black,adjective,5.46
173,following,adjective,5.46
174,law,noun,5.46
175,together,adverb,5.46
176,war,noun,5.46
177,whole,adjective,5.46
178,car,noun,5.45
179,face,noun,5.45
180,five,adjective,5.45
181,kind,noun,5.45
182,maybe,adverb,5.45
183,president,noun,5.45
184,story,noun,5.45
185,working,adjective,5.45
186,course,noun,5.44
187,health,noun,5.44
188,hope,verb,5.44
189,important,adjective,5.44
190,least,adverb,5.44
191,news,noun,5.44
192,within,adverb,5.44
193,able,adjective,5.43
194,book,noun,5.43
195,early,adjective,5.43
196,information,noun,5.43
197,local,adjective,5.43
198,oh,noun,5.43
199,post,noun,5.43
200,thanks,noun,5.43
201,video,noun,5.43
202,young,adjective,5.43
203,ago,adverb,5.42
204,social,adjective,5.42
205,talk,verb,5.42
206,court,noun,5.41
207,fact,noun,5.41
208,given,adjective,5.41
209,half,noun,5.41
210,hand,noun,5.41
211,level,noun,5.41
212,mind,noun,5.41
213,often,adverb,5.41
214,single,adjective,5.41
215,guy,noun,5.4
216,become,verb,5.4
217,body,noun,5.4
218,coming,adjective,5.4
219,control,noun,5.4
220,death,noun,5.4
221,food,noun,5.4
222,office,noun,5.4
223,pay,verb,5.4
224,problem,noun,5.4
225,south,noun,5.4
226,true,adjective,5.4
227,almost,adverb,5.39
228,fuck,noun,5.39
229,history,noun,5.39
230,known,adjective,5.39
231,large,adjective,5.39
232,lost,adjective,5.39
233,research,noun,5.39
234,room,noun,5.39
235,several,adjective,5.39
236,university,noun,5.39
237,win,verb,5.39
238,wrong,adjective,5.39
239,taking,noun,5.39
240,along,adverb,5.38
241,girl,noun,5.38
242,john,noun,5.38
243,matter,noun,5.38
244,pretty,adverb,5.38
245,remember,verb,5.38
246,friend,noun,5.37
247,air,noun,5.37
248,bit,noun,5.37
249,hit,verb,5.37
250,nice,adjective,5.37
251,playing,noun,5.37
252,probably,adverb,5.37
253,understand,verb,5.37
254,yeah,adverb,5.37
255,york,noun,5.37
256,saying,noun,5.37
257,class,noun,5.36
258,close,verb,5.36
259,idea,noun,5.36
260,international,adjective,5.36
261,past,noun,5.36
262,possible,adjective,5.36
263,woman,noun,5.35
264,cause,verb,5.35
265,due,adjective,5.35
266,happy,adjective,5.35
267,human,adjective,5.35
268,move,verb,5.35
269,question,noun,5.35
270,series,noun,5.35
271,wait,verb,5.35
272,ask,verb,5.34
273,community,noun,5.34
274,data,noun,5.34
275,late,adjective,5.34
276,leave,verb,5.34
277,north,noun,5.34
278,saw,verb,5.34
279,special,adjective,5.34
280,watch,verb,5.34
281,either,adverb,5.33
282,fucking,noun,5.33
283,future,noun,5.33
284,light,noun,5.33
285,low,adjective,5.33
286,million,adjective,5.33
287,morning,noun,5.33
288,police,noun,5.33
289,short,adjective,5.33
290,stay,verb,5.33
291,taken,adjective,5.33
292,age,noun,5.32
293,buy,verb,5.32
294,deal,verb,5.32
295,rather,adverb,5.32
296,reason,noun,5.32
297,red,adjective,5.32
298,report,verb,5.32
299,soon,adverb,5.32
300,third,adjective,5.32
301,turn,verb,5.32
302,check,verb,5.31
303,development,noun,5.31
304,form,noun,5.31
305,heart,noun,5.31
306,child,noun,5.3
307,act,noun,5.3
308,fire,noun,5.3
309,fun,noun,5.3
310,living,noun,5.3
311,major,adjective,5.3
312,phone,noun,5.3
313,art,noun,5.29
314,behind,adverb,5.29
315,building,noun,5.29
316,easy,adjective,5.29
317,market,noun,5.29
318,near,adjective,5.29
319,non,adverb,5.29
320,plan,verb,5.29
321,political,adjective,5.29
322,quite,adverb,5.29
323,six,adjective,5.29
324,talking,noun,5.29
325,west,noun,5.29
326,available,adjective,5.28
327,education,noun,5.28
328,final,adjective,5.28
329,former,adjective,5.28
330,front,noun,5.28
331,list,noun,5.28
332,ready,adjective,5.28
333,sometimes,adverb,5.28
334,son,noun,5.28
335,street,noun,5.28
336,bring,verb,5.27
337,college,noun,5.27
338,current,noun,5.27
339,example,noun,5.27
340,experience,noun,5.27
341,heard,adjective,5.27
342,london,noun,5.27
343,meet,verb,5.27
344,program,noun,5.27
345,type,noun,5.27
346,baby,noun,5.26
347,chance,noun,5.26
348,father,noun,5.26
349,march,verb,5.26
350,process,noun,5.26
351,song,noun,5.26
352,study,noun,5.26
353,word,noun,5.26
354,month,noun,5.25
355,across,adverb,5.25
356,action,noun,5.25
357,clear,adjective,5.25
358,outside,adjective,5.25
359,self,noun,5.25
360,board,noun,5.24
361,cost,noun,5.24
362,cut,verb,5.24
363,field,noun,5.24
364,held,adjective,5.24
365,instead,adverb,5.24
366,main,adjective,5.24
367,moment,noun,5.24
368,mother,noun,5.24
369,road,noun,5.24
370,thinking,noun,5.24
371,town,noun,5.24
372,de,noun,5.23
373,department,noun,5.23
374,energy,noun,5.23
375,fight,verb,5.23
376,fine,adjective,5.23
377,force,noun,5.23
378,hear,verb,5.23
379,issue,verb,5.23
380,played,adjective,5.23
381,price,noun,5.23
382,rest,noun,5.23
